corpus,qid,label,count,lat,lon
cs,Q2701672,Sviadnov,10,49.689240668532,18.327653435097
cs,Q205976,Mount of Olives,9,31.777946,35.245686
cs,Q207927,Berezina River,9,52.549722222222,30.25
cs,Q239,City of Brussels,9,50.846666666666664,4.351666666666667
cs,Q1794,Frankfurt,9,50.11055555555556,8.682222222222222
cs,Q224,Croatia,9,45.25,15.466667
cs,Q1012914,Lichnice Castle,9,49.879105,15.586251
cs,Q2015954,Bradlec,9,50.451414156807,14.910275697085
cs,Q126982,Sea of Galilee,9,32.818906,35.590033
cs,Q749556,Yasnaya Polyana,9,54.075127,37.526385
cs,Q41741,Thrace,9,42,26
cs,Q184371,Sedan,9,49.701944444444,4.9402777777778
cs,Q19658174,Sambia,9,54.83270278,20.26928611
cs,Q508519,Trosky Castle,9,50.51625,15.230833
cs,Q1014361,Valdštejn Castle,9,50.5625,15.16694444
cs,Q920703,Karolinum,9,50.08635833,14.42338611
cs,Q11874,Zvolen,9,48.574444444444,19.153333333333
cs,Q513670,Sudoměřice u Bechyně,9,49.289796730491,14.538456943639
cs,Q171080,Kotor,9,42.42539,18.771191
cs,Q41358,Styria,9,47.25,15.166666666667
cs,Q151985,Ardennes,9,50.25,5.6666666666667
cs,Q1008983,Vodňany,9,49.147976092242,14.175148006577
cs,Q894102,Borovany,9,48.898675230282,14.642272395582
cs,Q47611,Ephesus,9,37.939722,27.348611
cs,Q1678,Saale,9,51.9547,11.9139
cs,Q12130,Brittany,9,48,-3
cs,Q36989,Pardubice,9,50.03861,15.77916
cs,Q956,Beijing,9,39.90403,116.407526
cs,Q3445596,Obod,9,42.304473,19.155172
cs,Q200733,Nikšić,9,42.7731,18.94446
cs,Q183150,Colchis,9,42.26666667,42
cs,Q28914708,Pannonia,9,44.9,19.02
cs,Q4018,Navarre,9,42.816666666667,-1.65
cs,Q13364,Ravenna,9,44.416111111111114,12.201666666666666
cs,Q552165,Auerstedt,9,51.099444444444,11.5875
cs,Q6247,Mantua,9,45.156388888889,10.791111111111
cs,Q1333748,Krakovec,9,50.018932285358,13.638305335542
cs,Q848394,Lateran Palace,9,41.88666666666667,12.505277777777778
cs,Q46232,Vienna Ring Road,9,48.2046,16.3627
cs,Q166919,Thessalia,9,39.6,22.2
cs,Q42049,Balmoral Castle,9,57.0407,-3.23016
cs,Q2495811,Achaea Regional Unit,9,38.086811,21.859839
cs,Q7951237,Shechem,9,32.21361111,35.28194444
cs,Q22890,Ireland,9,53.351,-7.921
cs,Q8826,Palma de Mallorca,9,39.566666666667,2.6497222222222
cs,Q158904,Korosten,9,50.95,28.65
cs,Q693913,Medina del Campo,9,41.3085254,-4.9150523
cs,Q15688,Ávila,9,40.654347222222,-4.6962222222222
cs,Q1233184,Maremma,9,42.416388888889,11.478055555556
cs,Q1287241,Velemín,9,50.539069448334,13.976850401439
cs,Q10816931,Místek,9,49.6856,18.3506
cs,Q849928,Morávka,9,49.671806,18.357256
cs,Q3490367,Slezská Ostrava,9,49.8403,18.2987
cs,Q1252078,Moravice,9,49.927378,17.945937
cs,Q5747,Palmyra,8,34.550381,38.269791
cs,Q104354,Bagrationovsk,8,54.383333333333,20.633333333333
cs,Q45328,Elba,8,42.78,10.275
cs,Q1641699,Libušín,8,50.168272849798,14.054657380156
cs,Q2028,Verona,8,45.43861111111111,10.992777777777778
cs,Q583,Mont Blanc,8,45.83277777777778,6.865
cs,Q393894,Žerotín,8,49.724545761661,17.186851024311
cs,Q20103,Assisi,8,43.07,12.6175
cs,Q1804939,Langebrück,8,51.1308,13.8394
cs,Q81126,Manchuria,8,45,125
cs,Q1014994,Nalžovské Hory,8,49.333677270586,13.549639891716
cs,Q748211,Old Town,8,50.0847,14.4203
cs,Q14314,Santiago de Compostela,8,42.883333333333,-8.5333333333333
cs,Q320798,Mohács,8,45.995833333333,18.679722222222
cs,Q617,Padua,8,45.406388888889,11.877777777778
cs,Q38771,Sázava,8,49.886923,14.393692
cs,Q1013458,Orlík Castle,8,49.513,14.170472222222
cs,Q2503857,Chudenice,8,49.466782858661,13.173900093647
